Key,Value
Density,0.576983
Density_unit,g/cm^3
Estimated_saturation_loading,33.871344
Estimated_saturation_loading_unit,mol/kg
Input_block,"[1.865, 100]"
Input_ha,DEF
Input_structure_filename,file.txt.cif
Input_volpo,"[1.865, 1.865, 10000]"
Number_of_blocking_spheres,0
POAV_A^3,12736.2
POAV_A^3_unit,A^3
POAV_Volume_fraction,0.7185
POAV_Volume_fraction_unit,
POAV_cm^3/g,1.24527
POAV_cm^3/g_unit,cm^3/g
PONAV_A^3,0.0
PONAV_A^3_unit,A^3
PONAV_Volume_fraction,0.0
PONAV_Volume_fraction_unit,
PONAV_cm^3/g,0.0
PONAV_cm^3/g_unit,cm^3/g
Unitcell_volume,17726.2
Unitcell_volume_unit,A^3
adsorption_energy_widom_average,-3.0580435105
adsorption_energy_widom_dev,0.0108620988
adsorption_energy_widom_unit,kJ/mol
conversion_factor_molec_uc_to_cm3stp_cm3,2.0996814472
conversion_factor_molec_uc_to_mg_g,2.6039633099
conversion_factor_molec_uc_to_mol_kg,0.1623418522
henry_coefficient_average,6.1137e-07
henry_coefficient_dev,7.8525e-10
henry_coefficient_unit,mol/kg/Pa
is_kh_enough,True
is_porous,True
isotherm,"{'pressure': [0.2, 0.8, 1.4, 2.0, 2.6, 3.2, 3.8, 4.4, 5.0, 5.6, 6.2, 6.8, 7.4, 8.0, 8.6, 9.2, 9.8, 10.2], 'pressure_unit': 'bar', 'loading_absolute_dev': [0.0024504479511237, 0.0032494334746473, 0.0034751775313694, 0.014441090240918, 0.0072415385194179, 0.018059653664476, 0.014696950529452, 0.022623349175645, 0.0099304392968213, 0.018809697908646, 0.014589827634859, 0.014537130463115, 0.014407471256366, 0.020100622443502, 0.022992191747009, 0.022404022589745, 0.012344131136973, 0.023716049958204], 'loading_absolute_unit': 'mol/kg', 'loading_absolute_average': [0.01279253795336, 0.04743628921284, 0.08665808070436, 0.12263303515188, 0.15821836915412, 0.19912851590852, 0.22935656878816, 0.26309120567532, 0.30692350576932, 0.34549592985204, 0.3772824645128, 0.41699128156092, 0.44523876384372, 0.48222023777488, 0.52105240882112, 0.54972197991964, 0.58628136503508, 0.61417169524304], 'enthalpy_of_adsorption_dev': [0.25446744489619, 0.055384691493519, 0.15748567010052, 0.12598320487557, 0.1054292235165, 0.11738862421325, 0.13894957305463, 0.095011290979688, 0.16787805243072, 0.098394444305871, 0.081718764810057, 0.15627260482403, 0.12540813815237, 0.11625784673202, 0.17638893184672, 0.14763663498873, 0.094161682173056, 0.12821575083352], 'enthalpy_of_adsorption_unit': 'kJ/mol', 'enthalpy_of_adsorption_average': [-6.3800056538043, -6.3355776441928, -6.4368482535565, -6.4014362325709, -6.4303367339303, -6.459332352232, -6.442990613022, -6.4614431335379, -6.4581323322774, -6.4908494009462, -6.4740116235564, -6.4544083044407, -6.4961105983887, -6.5173368919043, -6.4964545658627, -6.5030469847763, -6.5511176240719, -6.5704967033332]}"
temperature,400
temperature_unit,K
