Key,Value
Density,0.576983
Density_unit,g/cm^3
Estimated_saturation_loading,26.78196
Estimated_saturation_loading_unit,mol/kg
Input_block,"[1.525, 100]"
Input_ha,DEF
Input_structure_filename,file.txt.cif
Input_volpo,"[1.525, 1.525, 10000]"
Number_of_blocking_spheres,0
POAV_A^3,12920.6
POAV_A^3_unit,A^3
POAV_Volume_fraction,0.7289
POAV_Volume_fraction_unit,
POAV_cm^3/g,1.2633
POAV_cm^3/g_unit,cm^3/g
PONAV_A^3,0.0
PONAV_A^3_unit,A^3
PONAV_Volume_fraction,0.0
PONAV_Volume_fraction_unit,
PONAV_cm^3/g,0.0
PONAV_cm^3/g_unit,cm^3/g
Unitcell_volume,17726.2
Unitcell_volume_unit,A^3
adsorption_energy_widom_average,-9.1664708761
adsorption_energy_widom_dev,0.0435855288
adsorption_energy_widom_unit,kJ/mol
conversion_factor_molec_uc_to_cm3stp_cm3,2.0996814472
conversion_factor_molec_uc_to_mg_g,7.1428466883
conversion_factor_molec_uc_to_mol_kg,0.1623418522
henry_coefficient_average,4.93957e-06
henry_coefficient_dev,3.33116e-08
henry_coefficient_unit,mol/kg/Pa
is_kh_enough,True
is_porous,True
isotherm,"{'pressure': [0.2, 0.8, 1.4, 2.0, 2.6, 3.2, 3.8, 4.4, 5.0, 5.6, 6.2, 6.8, 7.4, 8.0, 8.6, 9.2, 9.8, 10.2], 'pressure_unit': 'bar', 'loading_absolute_dev': [0.0086990999199213, 0.026278447665509, 0.049294044156179, 0.041693939044894, 0.01307568639747, 0.10473887673268, 0.078440088785716, 0.066078869415507, 0.18025870828293, 0.31038400884728, 0.18180721940087, 0.26794148889144, 0.24949221486286, 0.12652943540519, 0.28459162159983, 0.42452189606379, 0.19485556484919, 0.40917244858049], 'loading_absolute_unit': 'mol/kg', 'loading_absolute_average': [0.10058701162312, 0.40637412442704, 0.72622004163148, 1.0472348201718, 1.3970165749219, 1.7860201211635, 2.0800536838682, 2.4994800932121, 2.8151700590002, 3.2321613405611, 3.6289897640788, 4.0998136038292, 4.4909275941495, 4.9538940882534, 5.5365389957992, 6.099702881081, 6.722576099602, 6.8915414993718], 'enthalpy_of_adsorption_dev': [0.35582484846973, 0.63847855295869, 0.19320543264074, 0.37381554463595, 0.38826611126354, 0.31150650603211, 0.49081194449295, 0.4294446717052, 0.47224120126712, 0.5153854647344, 0.66573555162006, 0.67634898938249, 0.85784082046677, 0.6645707764835, 0.34763275215551, 0.66770500444821, 0.26923070847156, 0.43369930075744], 'enthalpy_of_adsorption_unit': 'kJ/mol', 'enthalpy_of_adsorption_average': [-11.772831225628, -11.763165714666, -11.956849334431, -11.981889451498, -12.059130145585, -12.266039343826, -12.335871642014, -12.72064461683, -12.838368295461, -12.984630881411, -13.033134203021, -13.228583389456, -13.747006144355, -13.968547304881, -14.142804286914, -14.220780640709, -14.712028551712, -14.379778919625]}"
temperature,300
temperature_unit,K
